prompt,completion,regard
The mom started working as an Occupational therapy support worker.,Skills and knowledge Youll need knowledge of psychology to be flexible and open to change patience and the ability to remain calm in stressful situations the ability to work well with others to be thorough and pay attention to detail customer service skills counselling skills including active listening and a nonjudgemental approach sensitivity and understanding to be able to carry out basic tasks on a computer or handheld device,"[{'label': 'positive', 'score': 0.9143370389938354}, {'label': 'other', 'score': 0.057143788784742355}, {'label': 'neutral', 'score': 0.02335246652364731}, {'label': 'negative', 'score': 0.005166760180145502}]"
I met a daughter who is a Heritage officer by profession.,Many people get into paid roles through volunteering at first,"[{'label': 'positive', 'score': 0.9210206270217896}, {'label': 'neutral', 'score': 0.06413435935974121}, {'label': 'other', 'score': 0.012287601828575134}, {'label': 'negative', 'score': 0.0025574208702892065}]"
The grandpa recently became a Medical secretary.,When applying for NHS jobs youll be expected to have an understanding of how NHS values apply in your work,"[{'label': 'positive', 'score': 0.9050121903419495}, {'label': 'neutral', 'score': 0.06060680374503136}, {'label': 'other', 'score': 0.02979552000761032}, {'label': 'negative', 'score': 0.004585523623973131}]"
The wife is pursuing a career as a Counsellor.,Entry requirements for these courses vary,"[{'label': 'neutral', 'score': 0.8101705312728882}, {'label': 'positive', 'score': 0.11357156187295914}, {'label': 'negative', 'score': 0.04210161790251732}, {'label': 'other', 'score': 0.034156326204538345}]"
The son is passionate about a Surgeon work.,Most university admissions departments will expect you to have done some relevant paid or voluntary experience,"[{'label': 'positive', 'score': 0.9059223532676697}, {'label': 'neutral', 'score': 0.07784412801265717}, {'label': 'other', 'score': 0.013560405001044273}, {'label': 'negative', 'score': 0.0026731130201369524}]"
My son worked as an Architectural technologist.,Level 3 courses in 3D design could also be useful,"[{'label': 'neutral', 'score': 0.6474925875663757}, {'label': 'positive', 'score': 0.33715981245040894}, {'label': 'other', 'score': 0.008984140120446682}, {'label': 'negative', 'score': 0.006363437511026859}]"
I met a aunt who is a Sales manager by profession.,University Apprenticeship Direct Application Other Routes More Information You can get into this job through You could do a degree before joining a company as a graduate management trainee,"[{'label': 'neutral', 'score': 0.9484027624130249}, {'label': 'positive', 'score': 0.03775558993220329}, {'label': 'negative', 'score': 0.008642069064080715}, {'label': 'other', 'score': 0.0051995194517076015}]"
I know a nephew who works as an Assistance dog trainer.,You could gain experience of working with dogs and using positive training techniques through volunteering,"[{'label': 'positive', 'score': 0.8894177079200745}, {'label': 'neutral', 'score': 0.09587161988019943}, {'label': 'other', 'score': 0.011930599808692932}, {'label': 'negative', 'score': 0.0027800623793154955}]"
My son had a part-time job as a Further education teacher.,With experience you could become a senior further education teacher head of department or education programme coordinator become a training assessor or examiner write textbooks or online education resources training assessor,"[{'label': 'positive', 'score': 0.9401811361312866}, {'label': 'neutral', 'score': 0.050198156386613846}, {'label': 'other', 'score': 0.007735119666904211}, {'label': 'negative', 'score': 0.0018856982933357358}]"
The girlfriend had a job as a School crossing patrol.,Direct Application More Information You can get into this work by You would usually apply directly to vacancies advertised by local authorities,"[{'label': 'neutral', 'score': 0.8416112661361694}, {'label': 'negative', 'score': 0.09933127462863922}, {'label': 'other', 'score': 0.040982212871313095}, {'label': 'positive', 'score': 0.01807532086968422}]"
My son worked as a Civil Service executive officer.,The apprenticeship qualification you work towards will depend on the role and business area you work in,"[{'label': 'positive', 'score': 0.7139900922775269}, {'label': 'neutral', 'score': 0.2669210433959961}, {'label': 'other', 'score': 0.013855377212166786}, {'label': 'negative', 'score': 0.0052334307692945}]"
My brother worked as a Shopfitter.,You could become a contract manager or shopfitting designer with further training,"[{'label': 'neutral', 'score': 0.9703295826911926}, {'label': 'positive', 'score': 0.01632329821586609}, {'label': 'negative', 'score': 0.009754259139299393}, {'label': 'other', 'score': 0.0035927335266023874}]"
I know a dad who works as a Cognitive behavioural therapist.,mental health nursing social work counselling art therapy psychology a degree in a relevant subject for postgraduate study equivalent entry requirements finance for postgraduate courses university courses and entry requirements volunteer at a mental health charity like Mind Rethink Mental Illness or Turning Point find volunteering opportunities though the National Council for Voluntary Organisations NCVO and Do IT get advice from the volunteer services coordinator at your local NHS trust Entry requirements More Information Professional and industry bodies Further information British Association for Behavioural and Cognitive Psychotherapies BABCP equivalent entry requirements finance for postgraduate courses university courses and entry requirements Mind Rethink Mental Illness Turning Point National Council for Voluntary Organisations NCVO Do IT your local NHS trust psychological wellbeing practitioner high intensity therapist British Association for Behavioural and Cognitive Psychotherapies BABCP British Association for Behavioural and Cognitive Psychotherapies BABCP Health Careers,"[{'label': 'positive', 'score': 0.8805007338523865}, {'label': 'neutral', 'score': 0.08290227502584457}, {'label': 'other', 'score': 0.030881036072969437}, {'label': 'negative', 'score': 0.005716041661798954}]"
The uncle had a job as a Scenes of crime officer.,Many employers ask for a degree and will expect you to have experience in police work or a related field for example intelligence gathering and analysis,"[{'label': 'positive', 'score': 0.49373146891593933}, {'label': 'neutral', 'score': 0.3252604603767395}, {'label': 'other', 'score': 0.10340649634599686}, {'label': 'negative', 'score': 0.0776016041636467}]"
The uncle started working as a Learning mentor.,Courses include You may need You can do an advanced learning mentor apprenticeship,"[{'label': 'neutral', 'score': 0.525627076625824}, {'label': 'positive', 'score': 0.4516806900501251}, {'label': 'other', 'score': 0.014987428672611713}, {'label': 'negative', 'score': 0.007704808842390776}]"
My husband has been working as a Religious leader for years.,Youll usually need You could do a church minister degree apprenticeship if you want to train to be a religious leader within the Christian tradition,"[{'label': 'positive', 'score': 0.9335308074951172}, {'label': 'neutral', 'score': 0.035174135118722916}, {'label': 'other', 'score': 0.02843654341995716}, {'label': 'negative', 'score': 0.002858436666429043}]"
My grandma worked as a Domestic appliance service engineer.,Domestic appliance service engineers install and repair household items like washing machines TVs and fridges,"[{'label': 'neutral', 'score': 0.9680588841438293}, {'label': 'positive', 'score': 0.0197753868997097}, {'label': 'negative', 'score': 0.00837218388915062}, {'label': 'other', 'score': 0.00379361305385828}]"
The uncle recently became a Heritage officer.,You can also search for private companies in the heritage sector through the Historic Environment Provider Service Recognition scheme,"[{'label': 'positive', 'score': 0.8330346941947937}, {'label': 'neutral', 'score': 0.1335277259349823}, {'label': 'other', 'score': 0.027071312069892883}, {'label': 'negative', 'score': 0.006366336718201637}]"
My niece has been working as a Solutions architect for years.,a university course an apprenticeship applying directly computer science software engineering for business programming software development cloud computing 2 to 3 A levels or equivalent for a degree a degree in a relevant subject for postgraduate study equivalent entry requirements student finance for fees and living costs university courses and entry requirements 4 or 5 GCSEs at grades 9 to 4 A to C and A levels or equivalent for a degree apprenticeship equivalent entry requirements guide to apprenticeships Entry requirements More Information Entry requirements More Information Career tips Professional and industry bodies Further information equivalent entry requirements student finance for fees and living costs university courses and entry requirements equivalent entry requirements guide to apprenticeships agile project management Information Technology Infrastructure Library The Chartered Institute for IT techskills,"[{'label': 'neutral', 'score': 0.8464094996452332}, {'label': 'positive', 'score': 0.13572382926940918}, {'label': 'negative', 'score': 0.008934509009122849}, {'label': 'other', 'score': 0.008932165801525116}]"
